field,raw,count,auto_matched,score,canonical,review,evidence
Decisão,NEGADA A REVISTA.,17272,0,0.44,Negar provimento,0,rule
Decisão,NEGADA A REVISTA,4925,0,0.44,Negar provimento,0,rule
Decisão,CONCEDIDA A REVISTA.,3219,0,0.47,Conceder provimento,0,rule
Decisão,PROVIDO.,2693,0,0.38,Conceder provimento,0,rule
Decisão,NEGADA,1948,0,0.29,Negar provimento,0,rule
Decisão,CONCEDIDA PARCIALMENTE A REVISTA.,1690,0,0.41,Conceder provimento parcialmente,0,rule
Decisão,CONCEDIDA A REVISTA,1602,0,0.47,Conceder provimento,0,rule
Decisão,PROVIDO PARCIAL.,1482,0,0.44,Conceder provimento parcialmente,0,rule
Decisão,DECIDIDO NÃO TOMAR CONHECIMENTO.,1026,0,0.35,Não conhecer,0,rule
Decisão,REJEITADO O RECURSO.,869,0,0.42,Rejeitar,0,rule
Decisão,PROVIDO PARCIALMENTE,617,0,0.59,Conceder provimento parcialmente,0,rule
Decisão,CONCEDIDA,593,0,0.37,Conceder provimento,0,rule
Decisão,INDEFERIDA A RECLAMAÇÃO,561,0,0.39,Indeferir,0,rule
Decisão,PROVIDO,558,0,0.38,Conceder provimento,0,rule
Decisão,CONCEDIDA PARCIALMENTE A REVISTA,520,0,0.41,Conceder provimento parcialmente,0,rule
Decisão,ORDENADA A BAIXA DO PROCESSO.,505,0,0.57,Ordenar baixa dos autos,0,rule
Decisão,INDEFERIMENTO.,497,0,0.62,Indeferir,0,rule
Decisão,PROVIDO EM PARTE,440,0,0.34,Conceder provimento parcialmente,0,rule
Decisão,CONCEDIDA PARCIALMENTE,415,0,0.63,Conceder provimento parcialmente,0,rule
Decisão,RECLAMAÇÃO INDEFERIDA,367,0,0.41,Indeferir,0,rule
Decisão,REJEITADO O RECURSO,339,0,0.42,Rejeitar,0,rule
Decisão,INDEFERIDA A RECLAMAÇÃO.,312,0,0.39,Deferir,0,rule
Decisão,INDEFERIDO,279,0,0.80,Indeferir,0,rule
Decisão,NEGADA REVISTA,260,0,0.50,Negar provimento,0,rule
Decisão,REJEITADO,258,0,0.78,Rejeitar,0,rule
Decisão,INDEFERIDA,256,0,0.80,Indeferir,0,rule
Decisão,DECLARAÇÃO DE COMPETÊNCIA.,250,0,0.76,Declarar competência,0,rule
Decisão,ANULADA A DECISÃO.,237,0,0.35,Anular,0,rule
Decisão,DECLARAÇÃO DE COMPETENCIA.,224,0,0.76,Declarar competência,0,rule
Decisão,DESATENDIDA A RECLAMAÇÃO.,212,0,0.38,Indeferir,0,rule
Decisão,MANDADA AMPLIAR A MATÉRIA DE FACTO.,207,0,0.29,Ordenar baixa dos autos,0,rule
Decisão,FINDO O RECURSO POR NÃO EXISTIR OPOSIÇÃO.,197,0,0.25,Rejeitar,0,rule
Decisão,REVISTA IMPROCEDENTE,174,0,0.41,Negar provimento,0,rule
